".scenario.id",".at","mh.scrninterv.start","mh.txinterv.start","mdd.diag.gen.prob_1","mdd.diag.gen.prob_2","mddscrnuptk.pstat.prob","mddscrnuptk.pind.prob","mdd.txinit.prob.reg_1","mdd.txinit.prob.reg_2","mdd.txinit.prob.reg_3","mdd.txinit.prob.prep_1","mdd.txinit.prob.prep_2","mdd.txinit.prob.prep_3","prep.start.prob_1","prep.start.prob_2","prep.start.prob_3","tx.init.rate_1","tx.init.rate_2","tx.init.rate_3","tx.reinit.partial.rate_1","tx.reinit.partial.rate_2","tx.reinit.partial.rate_3"
"c085_0.643_0.357_max",3901,3901,Inf,0.643,0.643,0,0.643,0.357,0.357,0.357,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c086_0.714_0.357_max",3901,3901,Inf,0.714,0.714,0,0.714,0.357,0.357,0.357,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c087_0.786_0.357_max",3901,3901,Inf,0.786,0.786,0,0.786,0.357,0.357,0.357,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c088_0.857_0.357_max",3901,3901,Inf,0.857,0.857,0,0.857,0.357,0.357,0.357,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c089_0.929_0.357_max",3901,3901,Inf,0.929,0.929,0,0.929,0.357,0.357,0.357,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c090_1_0.357_max",3901,3901,Inf,1,1,0,1,0.357,0.357,0.357,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c091_0_0.429_max",3901,3901,Inf,0,0,0,0,0.429,0.429,0.429,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c092_0.071_0.429_max",3901,3901,Inf,0.071,0.071,0,0.071,0.429,0.429,0.429,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c093_0.143_0.429_max",3901,3901,Inf,0.143,0.143,0,0.143,0.429,0.429,0.429,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c094_0.214_0.429_max",3901,3901,Inf,0.214,0.214,0,0.214,0.429,0.429,0.429,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
